Type,product,tooltip,Agriculture,Aviation,Commercial Real Estate,Construction,Consumer Products,Financial Services,Manufacturing,Mortgages,Oil and Gas,Property,Telecommunications,Utilities
Bonds,bond_like,,agriculture,aviation,commercial real estate,construction,consumer products,financials,manufacturing,mortgages,oil and gas,property,telecoms,utilities
Equity,equity_like,,agriculture,aviation,commercial real estate,construction,consumer products,financials,manufacturing,mortgages,oil and gas,property,telecoms,utilities
