Type,product,Agriculture,Construction,Consumer Products,Financial Services,Manufacturing,Mining,Oil and Gas,Telecommunications,Transport,Utilities
Bonds,bond_like,agriculture,construction,consumer_products,financials,manufacturing,metals_and_mining,oil_and_gas,telecoms,transport,utilities
Equity,equity_like,agriculture,construction,consumer_products,financials,manufacturing,metals_and_mining,oil_and_gas,telecoms,transport,utilities
